LE COMPRESSIONI SI RIFERISCONO A TUTTI I DATASET E AI NOSTRI CODEC

Dataset,Algoritmo,Rapporto compressione,Tempo compressione,Dimensione iniziale,Dimensione finale
Messerschmitt_random,MagicYUV,0.9739473007231639,0.14713287353515625,8859161,9096140
Messerschmitt_random,FFVHUFF,0.7535758262644175,0.13412189483642578,8859161,11756164
Messerschmitt_random,LCL,1.0041981953552228,0.259235143661499,8859161,8822124
OpEx,FLV1,45.31174676695755,5.031548023223877,73800556,1628729
OpEx,MPEG4,61.21306797917112,4.761326551437378,73800556,1205634
OpEx,MJPEG,15.66634003938208,6.120147943496704,73800556,4710772
OpEx,ProRes,0.9901054862243959,8.321769714355469,73800556,74538074
OpEx,MagicYUV,0.6675634986048299,5.003956079483032,73800556,110552114
OpEx,FFVHUFF,0.4249846476892296,5.828759431838989,73800556,173654640
OpEx,LCL,0.687626930502722,5.897355079650879,73800556,107326448
OpEx_random,FLV1,15.548150552998042,5.169975280761719,73800556,4746581
OpEx_random,MPEG4,30.284257885337606,4.293263673782349,73800556,2436928
OpEx_random,MJPEG,14.859180327076686,5.664463520050049,73800556,4966664
OpEx_random,ProRes,0.9181054377681597,9.060226917266846,73800556,80383530
OpEx_random,MagicYUV,0.6208585743111554,4.586869239807129,73800556,118868546
OpEx_random,FFVHUFF,0.3932838831070199,5.487551927566528,73800556,187652124
OpEx_random,LCL,0.6541823958822489,5.739336967468262,73800556,112813424


(OpEx NON FUNZIONA CON CLJR)

OpEx,CLJR,12979.345058037285,0.45941734313964844,73800556,5686
OpEx_random,CLJR,12979.345058037285,0.4554116725921631,73800556,5686
